커피_매출액,커피_한잔_가격,일일_유동인구,프로모션_할인율,SNS_언급량,영업시간,경쟁점포_거리_km,원두_품질점수,휴일까지_남은일수,평균기온,매장_분위기평점,멤버십가입여부,모바일주문여부,상권유형
3683.34,3.04,175.0,0.068,17.0,13.31,0.18,68.8,52.4,30.1,4.1,비회원,지원,Business
2306.59,5.09,246.0,0.055,,9.64,0.87,79.5,45.0,22.5,4.0,회원,미지원,Tourist
5800.54,3.9,216.0,0.07,,11.33,4.03,90.9,51.5,6.6,4.7,비회원,지원,Residential
1699.44,4.48,174.0,0.046,,12.32,0.24,66.2,9.7,13.8,4.5,비회원,미지원,Residential
3364.27,4.41,226.0,0.111,,12.62,0.52,74.4,41.5,2.9,3.1,회원,미지원,Business
2467.58,5.39,205.0,0.09,,12.82,0.54,72.1,58.5,23.6,3.7,회원,지원,Business
4885.36,4.55,248.0,0.044,31.0,13.12,0.05,76.2,36.7,21.9,2.6,회원,지원,Residential
386.0,4.99,165.0,0.037,,10.17,0.06,65.4,10.3,14.8,3.2,회원,미지원,Business
3619.18,4.83,184.0,0.108,,11.21,4.58,75.7,59.7,26.4,2.5,비회원,미지원,Residential
2323.43,5.32,180.0,0.078,24.0,8.3,1.27,84.8,31.7,17.4,2.9,회원,미지원,Business
1912.36,4.36,127.0,0.068,,14.15,0.55,62.0,50.4,36.4,4.6,회원,미지원,Business
3338.74,5.62,215.0,0.076,22.0,14.7,0.71,83.0,9.0,9.6,4.3,비회원,미지원,Residential
3752.71,3.31,213.0,0.091,24.0,9.59,1.88,65.4,40.0,22.5,4.2,비회원,미지원,Residential
1894.88,5.01,200.0,0.044,,9.61,0.68,77.1,54.8,15.2,4.5,회원,지원,Business
2060.26,3.98,188.0,0.04,16.0,8.34,0.39,78.9,31.9,13.3,4.2,비회원,지원,Residential
4006.1,4.2,129.0,0.037,22.0,15.76,0.16,78.0,17.3,16.8,3.7,회원,지원,Residential
3441.6,4.84,179.0,0.057,,14.46,1.96,72.3,7.6,20.6,3.4,회원,지원,Residential
2789.16,4.84,183.0,0.083,20.0,10.89,0.3,80.3,17.8,18.4,4.8,회원,지원,Business
1260.92,4.86,160.0,0.086,,11.86,0.11,64.9,21.3,22.7,,회원,미지원,Business
3191.87,3.67,192.0,0.012,,10.34,0.84,82.3,42.6,22.2,3.7,비회원,미지원,Residential
2063.44,5.37,220.0,0.2,14.0,12.78,0.06,71.3,10.7,28.2,4.3,비회원,미지원,Business
6193.22,3.96,294.0,0.134,19.0,13.74,5.03,77.6,6.4,9.6,2.1,회원,미지원,Business
2172.4,4.04,209.0,0.036,12.0,11.58,1.48,72.2,23.2,7.1,4.3,비회원,지원,Business
3438.59,4.88,213.0,0.045,16.0,14.99,0.25,87.3,27.5,17.5,3.5,회원,지원,Business
3524.3,4.33,196.0,0.116,,12.14,0.28,78.5,37.7,12.4,5.0,비회원,미지원,Residential
2698.59,4.68,104.0,0.11,22.0,9.15,1.27,80.2,42.5,24.1,4.5,비회원,지원,Business
5313.13,3.21,199.0,0.113,22.0,12.98,0.66,81.3,53.4,10.5,2.6,비회원,미지원,Business
3320.09,4.67,203.0,0.054,21.0,11.7,2.23,73.1,17.3,14.2,,회원,지원,Residential
5020.55,4.63,323.0,0.094,18.0,15.49,1.18,77.3,31.7,15.7,3.8,비회원,지원,Residential
4517.87,4.19,190.0,0.142,24.0,11.14,0.85,76.3,22.0,30.4,3.8,비회원,지원,Business
5917.36,3.26,215.0,0.062,,11.22,4.94,80.2,0.1,32.8,3.7,비회원,지원,Residential
2795.71,4.37,198.0,0.074,,13.21,0.74,71.4,34.8,10.0,4.4,비회원,미지원,Business
2680.22,4.48,142.0,0.113,22.0,12.22,0.77,69.3,48.9,2.6,3.5,회원,미지원,Business
3207.4,4.28,257.0,0.014,18.0,11.0,1.64,84.5,2.2,14.0,3.8,회원,미지원,Residential
6654.54,3.4,238.0,0.056,26.0,15.92,2.49,81.3,0.2,17.7,,비회원,미지원,Residential
1904.09,5.46,240.0,0.113,,10.42,1.48,68.3,43.7,17.7,4.7,비회원,미지원,Residential
3459.79,4.12,155.0,0.035,,10.22,1.8,90.2,41.0,17.4,4.4,회원,미지원,Residential
4861.67,4.37,270.0,0.139,,14.92,0.7,70.4,24.4,23.7,3.6,회원,지원,Residential
1736.45,3.05,130.0,0.007,14.0,8.03,0.98,75.9,39.7,15.2,3.4,비회원,미지원,Tourist
2183.34,5.46,229.0,0.089,,9.61,0.33,84.3,57.2,19.5,3.8,비회원,미지원,Residential
6764.25,4.22,310.0,0.146,25.0,12.72,1.71,84.3,14.9,22.5,3.8,비회원,지원,Residential
1057.3,4.56,150.0,0.064,16.0,9.3,0.38,69.4,14.8,19.5,3.8,비회원,지원,Residential
3256.43,5.17,172.0,0.068,,15.89,0.0,79.1,11.2,22.7,4.1,회원,지원,Business
4164.57,4.09,205.0,0.054,,11.71,4.07,72.5,43.4,6.0,4.0,비회원,지원,Business
6790.8,5.08,895.0,0.058,,12.78,0.55,78.4,21.2,18.8,4.0,회원,미지원,Business
2509.91,3.26,122.0,0.058,,9.28,0.33,74.0,59.3,19.6,3.5,비회원,미지원,Residential
2083.11,4.83,203.0,0.108,,10.32,0.47,71.8,42.9,16.8,,비회원,미지원,Residential
2126.23,5.44,147.0,0.136,,12.92,0.6,67.3,22.0,13.8,4.2,회원,지원,Residential
3892.6,4.15,224.0,0.035,22.0,12.4,0.97,84.5,9.0,21.2,3.8,비회원,미지원,Business
2540.39,5.17,154.0,0.116,,14.27,0.11,69.0,35.5,18.9,4.0,회원,지원,Business
2150.61,5.6,277.0,0.047,21.0,10.15,0.08,86.7,17.7,17.6,4.1,회원,미지원,Business
2307.22,4.35,161.0,0.013,21.0,13.23,0.52,72.6,54.3,15.7,2.6,회원,미지원,Residential
2221.43,4.3,184.0,0.025,,10.33,0.53,78.9,26.5,16.0,4.8,비회원,미지원,Residential
4933.18,3.96,241.0,0.09,19.0,12.69,0.19,87.3,17.6,12.6,,비회원,지원,Residential
2041.14,4.19,138.0,0.018,,12.84,0.78,71.6,35.3,14.7,4.6,회원,미지원,Business
3128.93,4.01,211.0,0.082,,8.97,0.5,78.8,8.2,11.4,4.1,비회원,지원,Business
2946.78,3.96,265.0,0.101,12.0,12.39,0.04,79.0,33.7,15.3,,비회원,미지원,Business
343.82,5.22,120.0,0.014,,8.1,3.25,69.7,3.4,20.6,3.4,비회원,미지원,Business
4156.46,4.03,209.0,0.019,,12.01,3.26,76.8,36.4,23.7,3.4,회원,지원,Residential
4225.2,4.66,213.0,0.121,,13.58,0.35,81.0,31.8,17.6,3.4,비회원,지원,Business
3342.41,4.52,239.0,0.072,19.0,8.58,0.27,88.6,31.2,17.4,2.7,회원,지원,Residential
3075.46,5.4,138.0,0.108,,15.51,1.19,71.7,41.0,19.0,3.3,회원,지원,Residential
2890.66,4.2,134.0,0.059,21.0,11.67,1.49,77.8,2.7,24.9,4.4,비회원,미지원,Business
4977.45,4.73,226.0,0.112,17.0,15.51,4.74,74.0,27.6,16.4,4.4,회원,지원,Business
2433.5,4.97,215.0,0.127,,8.86,0.71,76.5,26.6,21.2,3.4,비회원,미지원,Tourist
2684.86,5.39,213.0,0.028,,15.6,1.44,70.3,27.6,20.6,2.7,비회원,지원,Business
4600.57,4.19,217.0,0.191,,8.87,3.16,73.6,58.8,13.6,4.2,비회원,지원,Residential
3575.1,4.13,166.0,0.06,,11.69,0.9,87.1,8.4,22.9,3.2,회원,미지원,Business
4645.26,3.86,212.0,0.115,,15.5,0.2,76.0,41.4,3.5,3.2,비회원,미지원,Residential
1337.66,5.84,215.0,0.104,,9.86,0.71,75.6,24.1,25.4,3.6,비회원,미지원,Business
757.53,5.33,164.0,0.082,,8.28,0.22,68.2,30.7,9.6,3.6,회원,지원,Residential
5209.51,4.47,293.0,0.103,,14.34,0.03,83.7,45.7,17.0,3.3,비회원,지원,Residential
2332.27,5.66,224.0,0.059,15.0,12.77,2.09,81.8,9.4,23.8,3.4,회원,지원,Business
3061.65,4.44,140.0,0.09,,12.11,0.41,76.0,45.8,15.0,,비회원,지원,Business
3262.49,4.93,233.0,0.158,20.0,8.27,0.0,90.2,4.2,19.6,3.4,회원,미지원,Residential
3201.37,4.51,151.0,0.04,,13.23,3.09,70.7,29.0,23.9,3.4,회원,지원,Business
3122.34,4.74,239.0,0.181,24.0,9.37,0.88,66.7,44.5,30.9,3.6,회원,미지원,Residential
3487.28,4.68,258.0,0.095,17.0,15.45,0.41,74.2,11.6,17.9,4.0,회원,미지원,Residential
2763.95,4.25,159.0,0.103,,13.49,0.46,68.2,46.3,19.3,3.9,회원,미지원,Business
2460.12,5.16,248.0,0.052,20.0,13.66,0.41,76.9,10.0,18.3,,비회원,미지원,Business
2383.29,4.93,221.0,0.086,,9.86,0.32,75.6,48.0,16.5,,회원,지원,Business
4345.13,5.12,241.0,0.085,15.0,15.05,2.76,84.2,28.1,8.6,4.6,회원,지원,Residential
2434.19,4.69,295.0,0.127,13.0,12.3,0.28,71.4,41.1,10.2,4.4,비회원,미지원,Residential
4134.79,3.96,188.0,0.008,,14.86,1.24,77.7,55.0,17.9,4.1,회원,지원,Residential
329.26,5.53,162.0,0.017,19.0,10.17,0.12,76.5,24.5,20.4,2.7,비회원,미지원,Residential
4986.09,4.34,156.0,0.019,25.0,14.04,4.48,81.7,14.0,26.8,3.9,비회원,미지원,Residential
2330.7,4.72,159.0,0.115,,12.6,1.39,66.0,52.0,16.5,,비회원,미지원,Business
1045.02,4.88,196.0,0.036,17.0,8.39,3.5,67.8,9.7,28.7,3.2,회원,미지원,Residential
1915.22,4.71,217.0,0.033,22.0,11.24,0.76,70.4,37.9,9.6,,회원,미지원,Business
1650.44,5.05,214.0,0.094,,9.47,2.5,66.3,55.4,19.5,,회원,미지원,Business
4590.28,5.14,241.0,0.053,29.0,10.87,2.88,79.9,40.5,16.1,4.3,비회원,지원,Residential
3212.6,4.37,201.0,0.053,,11.07,1.82,80.0,11.7,8.8,3.4,회원,미지원,Residential
4953.81,5.48,273.0,0.2,26.0,11.8,0.15,83.7,9.1,6.1,3.9,회원,지원,Business
2382.67,4.34,187.0,0.037,,12.8,0.02,73.8,15.1,15.0,3.5,비회원,미지원,Residential
7515.38,4.7,1043.0,0.024,22.0,12.57,0.28,71.3,23.5,15.5,3.7,회원,미지원,Business
1608.84,4.27,231.0,0.046,18.0,8.31,0.19,67.4,9.5,11.8,4.4,비회원,지원,Residential
5742.35,4.1,157.0,0.13,23.0,14.01,1.94,85.4,47.9,23.3,3.8,비회원,지원,Business
2970.1,5.13,146.0,0.034,22.0,15.59,1.22,73.2,21.4,15.2,2.7,회원,지원,Business
80.45,6.37,224.0,0.026,,10.79,1.12,69.2,56.2,11.1,3.9,비회원,미지원,Residential
2434.26,4.28,189.0,0.034,,9.44,0.44,81.0,50.5,16.3,4.9,회원,미지원,Residential
1637.05,5.23,236.0,0.101,15.0,12.32,0.25,72.3,54.5,13.6,3.4,회원,미지원,Residential
2811.45,4.3,224.0,0.06,,13.64,0.35,66.5,17.7,29.5,4.7,비회원,미지원,Residential
3232.98,4.49,196.0,0.081,,13.43,0.77,68.1,34.4,15.8,4.2,비회원,지원,Residential
3636.95,5.55,158.0,0.079,31.0,12.9,2.02,75.7,19.3,11.6,4.5,회원,미지원,Residential
2075.14,3.86,124.0,0.053,25.0,9.17,0.44,66.4,15.4,29.5,4.3,비회원,미지원,Residential
5309.94,3.7,178.0,0.123,,14.69,1.8,74.3,36.4,23.1,3.9,회원,지원,Residential
2513.37,4.45,243.0,0.081,16.0,11.4,1.01,68.1,49.1,18.7,3.4,회원,지원,Residential
1643.64,4.9,211.0,0.09,16.0,9.77,3.25,67.4,5.6,12.4,3.9,회원,미지원,Business
1792.95,4.78,138.0,0.109,24.0,8.69,0.4,71.1,16.5,23.4,3.9,회원,미지원,Residential
2773.11,4.72,209.0,0.119,18.0,11.33,0.9,76.3,12.3,7.8,4.4,비회원,미지원,Residential
2771.5,4.52,219.0,0.045,,12.94,0.15,77.6,47.9,22.9,2.4,비회원,미지원,Business
4430.35,4.97,156.0,0.109,26.0,13.32,0.61,82.4,56.0,19.8,2.9,비회원,지원,Residential
4556.67,2.75,208.0,0.026,,15.7,1.06,68.7,4.8,24.9,3.9,회원,미지원,Business
5313.61,4.05,203.0,0.057,30.0,9.23,1.98,86.1,22.8,1.5,4.0,비회원,지원,Business
4179.0,4.44,143.0,0.012,17.0,15.89,0.33,95.0,54.9,11.6,3.3,회원,지원,Residential
3333.78,4.92,218.0,0.128,,13.24,0.37,71.6,20.7,11.0,4.0,회원,지원,Business
918.08,5.39,228.0,0.068,18.0,11.63,1.5,60.9,42.8,10.2,4.2,비회원,미지원,Residential
4534.74,3.97,254.0,0.126,22.0,15.11,0.72,61.1,6.0,21.0,,비회원,지원,Business
3463.83,5.37,253.0,0.046,26.0,13.56,0.99,71.0,26.7,15.9,4.7,회원,지원,Residential
2926.41,4.23,131.0,0.072,,10.79,2.71,69.4,30.2,11.9,4.8,비회원,지원,Business
3970.08,4.42,153.0,0.12,19.0,15.07,1.04,75.0,45.5,10.3,3.9,회원,지원,Business
2524.99,4.85,226.0,0.044,12.0,13.33,1.59,79.1,17.3,11.3,4.3,회원,지원,Residential
2996.35,4.38,226.0,0.072,21.0,13.59,1.6,64.7,15.9,24.1,2.8,회원,미지원,Business
3989.61,5.17,226.0,0.068,22.0,15.17,2.44,73.6,18.2,17.5,4.4,회원,지원,Business
3654.09,4.26,393.0,0.076,13.0,11.59,1.52,71.0,33.3,23.8,4.7,회원,지원,Business
4283.19,4.27,229.0,0.12,13.0,13.26,0.1,91.3,52.6,36.7,3.2,회원,지원,Business
2540.11,5.13,257.0,0.068,,13.96,0.63,63.9,49.9,17.9,4.2,비회원,지원,Business
4434.43,4.04,248.0,0.025,18.0,11.63,6.81,68.9,3.5,8.1,2.7,회원,지원,Business
3598.55,4.65,233.0,0.133,29.0,8.67,0.33,75.3,52.7,17.0,3.3,비회원,미지원,Residential
3650.94,3.5,184.0,0.079,14.0,14.17,1.33,69.0,5.7,31.2,3.5,비회원,지원,Residential
3858.0,5.59,238.0,0.193,,8.38,2.78,84.1,24.9,25.6,2.9,회원,지원,Residential
2088.87,5.22,161.0,0.094,,13.74,1.32,66.8,45.9,13.5,3.7,회원,미지원,Residential
1915.13,6.15,188.0,0.096,,15.29,0.7,67.7,4.9,15.9,3.6,회원,지원,Business
2954.52,5.3,176.0,0.125,20.0,10.78,0.13,84.8,2.4,23.4,4.2,비회원,지원,Residential
2338.31,3.82,204.0,0.068,,8.82,0.67,65.5,19.8,21.4,2.9,회원,지원,Business
3389.77,4.9,316.0,0.051,,9.86,0.3,81.7,43.8,23.5,4.2,비회원,지원,Tourist
3822.11,3.95,107.0,0.032,20.0,12.5,4.86,71.4,31.3,16.3,3.3,비회원,지원,Business
3261.89,5.45,234.0,0.055,,15.54,1.88,70.1,25.0,20.7,3.0,회원,지원,Residential
3817.72,3.84,119.0,0.082,21.0,12.1,2.08,70.9,48.8,15.9,3.7,비회원,지원,Residential
2642.56,3.81,176.0,0.019,26.0,8.9,0.86,66.0,46.0,27.8,4.3,비회원,지원,Business
5852.77,3.53,254.0,0.145,22.0,13.02,0.17,82.3,47.2,7.3,,회원,미지원,Tourist
3685.24,4.21,203.0,0.094,,13.86,0.47,76.1,27.6,7.3,,비회원,미지원,Business
2719.9,4.09,146.0,0.031,,11.15,0.45,82.1,1.2,13.0,4.0,회원,미지원,Residential
4057.31,3.74,164.0,0.035,,13.77,1.0,84.4,10.3,13.3,5.0,회원,미지원,Residential
2446.02,5.69,234.0,0.07,22.0,10.6,0.93,79.3,44.5,7.3,3.6,회원,지원,Business
2024.89,4.82,163.0,0.044,,14.31,0.85,63.4,45.2,6.1,3.7,비회원,지원,Business
2378.44,4.75,211.0,0.089,,10.73,1.03,67.2,58.3,25.5,4.5,비회원,지원,Residential
3469.2,5.45,202.0,0.049,18.0,10.05,6.52,81.8,11.4,16.8,3.8,비회원,지원,Residential
4031.68,4.65,167.0,0.164,,15.03,0.53,75.4,7.4,16.3,4.0,회원,미지원,Residential
4648.59,4.05,307.0,0.128,17.0,12.39,1.43,80.2,8.3,18.4,2.7,비회원,미지원,Residential
3911.02,3.48,232.0,0.084,20.0,10.28,0.41,74.3,11.1,29.2,3.7,비회원,지원,Business
3891.41,4.02,99.0,0.078,,15.48,0.94,71.6,31.7,18.8,3.4,회원,지원,Residential
3309.79,5.4,209.0,0.157,15.0,13.53,0.33,80.2,58.5,17.2,3.5,비회원,지원,Tourist
2035.46,3.75,167.0,0.03,21.0,9.77,1.23,61.2,35.4,13.5,4.0,회원,지원,Business
3115.92,4.71,243.0,0.07,,12.92,0.46,72.4,31.4,22.2,3.8,회원,지원,Business
2863.26,5.12,160.0,0.083,,14.96,0.06,75.5,40.4,17.5,4.3,회원,지원,Business
3658.32,4.67,194.0,0.059,18.0,13.57,2.53,76.7,4.4,29.6,4.4,회원,지원,Residential
1901.05,4.74,225.0,0.147,,9.96,0.21,64.6,48.9,16.9,3.7,회원,미지원,Business
2790.59,4.89,243.0,0.012,25.0,13.19,0.69,65.0,38.8,25.1,4.0,회원,지원,Residential
4607.81,4.73,140.0,0.216,23.0,12.95,0.97,71.9,10.3,13.0,2.6,회원,지원,Tourist
1833.98,5.47,183.0,0.036,,14.57,0.85,74.5,37.8,13.0,4.0,비회원,미지원,Business
4242.3,3.88,176.0,0.101,21.0,9.43,1.94,87.4,35.8,5.2,4.4,비회원,미지원,Residential
2230.96,4.64,167.0,0.062,,13.6,1.36,68.0,3.9,23.6,,비회원,미지원,Business
3542.71,3.41,288.0,0.07,,8.22,0.53,71.1,16.0,17.7,4.3,비회원,지원,Business
4617.56,3.26,220.0,0.053,15.0,13.57,0.08,87.7,23.5,22.5,3.5,회원,지원,Business
4328.49,4.45,137.0,0.023,,15.68,2.19,83.5,14.7,29.9,3.5,회원,지원,Residential
1429.75,4.83,246.0,0.056,17.0,9.4,0.65,66.1,14.6,12.1,4.7,회원,지원,Residential
3199.45,5.48,306.0,0.037,17.0,10.49,3.31,80.4,34.4,11.0,3.8,비회원,지원,Tourist
3402.1,5.95,252.0,0.15,,12.66,0.75,81.7,28.3,12.5,4.3,비회원,지원,Business
2935.93,5.29,124.0,0.113,,13.86,1.9,76.6,40.0,3.3,2.6,회원,미지원,Residential
2197.31,4.94,176.0,0.015,,10.75,4.21,65.6,57.4,16.6,3.4,비회원,지원,Residential
